CONTRACTID,TITLE,TOTALOPTIONYEARS,CURRENTOPTIONYEAR,CITYWIDE,AGENCY,AGENCYNAME,PROCUREMENTMETHOD,CONTRACTTYPE,MARKETTYPE,AMOUNT,LASTMODIFIED,CONTRACTSTATUS,AWARDDATE,EFFECTIVEDATE,EXPIRATIONDATE,OWNER,CONTRACTINGOFFICER,SUPPLIER,AWARDDOC,COMMODITY,SOLICITATIONID,DSC_LAST_MOD_DTTM,OBJECTID
CW19690,DCPIC-HSEMA-Bottled Water,0.000000000000000,Base Period,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Small Purchase,Indefinite Delivery Indefinite Quantity,Set Aside,99999,2012-12-26T19:54:00.000Z,Expired,2012-12-21T00:00:00.000Z,2012-12-26T00:00:00.000Z,2013-01-25T00:00:00.000Z,Jerome Johnson,Jerome Johnson,LASER ART INC,,"3753078 : SNACKS, BAKERY, VEND PACK",WS29128,2018-07-12T16:10:47.000Z,5792
CW22007,FY13- OoP Landscape Design and Comprehensive Planning,0.000000000000000,Base Period,,BD0,OFFICE OF PLANNING,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,243880,2014-08-18T11:56:00.000Z,Closed,2013-07-02T00:00:00.000Z,2013-07-02T00:00:00.000Z,2014-07-01T00:00:00.000Z,Rebecca Young,Shafiqur Choudhary,"Olin Partnership, Ltd.",,9189200 : Urban Planning Consulting,WS31686,2018-07-12T16:10:47.000Z,5793
CW29261,CW22109 Walton & Green OY1,0.000000000000000,Base Period,,CR0,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,DC Supply Schedule,Labor Hour,Set Aside,465478.5,2015-06-26T12:14:00.000Z,Closed,2014-05-28T00:00:00.000Z,2014-05-29T00:00:00.000Z,2015-05-28T00:00:00.000Z,Jeffrey Tisdale,Priscilla Mack,WALTON & GREEN CONSULTANTS,,"9610200 : Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)",WS40320,2018-07-12T16:10:47.000Z,5794
CW23062,Public Safety Diving Equipment ,0.000000000000000,Base Period,,FA0,METROPOLITAN POLICE DEPARTMENT,Competitive Sealed Bid (IFB),Requirements,Open,87594.1,2014-03-13T15:42:00.000Z,Closed,2013-07-11T00:00:00.000Z,2013-07-24T00:00:00.000Z,2013-09-30T00:00:00.000Z,Ruby Nelson,Shafiqur Choudhary,"American Diving Supply, LLC",,"2003179 : SUIT, RESPONDER",WS43148,2018-07-12T16:10:47.000Z,5795
CW28642,FY'14 DHCD-Loan Services,4.000000000000000,Base Period,,DB0,DEPT. OF HOUSING AND COMM. DEVELOPMENT,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,1963621.72,2015-02-12T21:40:00.000Z,Expired,2014-04-16T00:00:00.000Z,2014-04-16T00:00:00.000Z,2015-04-15T00:00:00.000Z,Shafiqur Choudhary,Callie Byrd-Williams,AMERINATIONAL COMMUNITY SVC.,,9625800 : Professional Services (Not Otherwise Classified),WS52829,2018-07-12T16:10:47.000Z,5796
CW24361,FY13-DOES WIC Technical Assistance,1.000000000000000,Option 1,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Competitive Sealed Bid (IFB),Labor Hour,Open,138444,2015-04-20T11:36:00.000Z,Closed,2013-09-06T00:00:00.000Z,2013-10-01T00:00:00.000Z,2014-09-30T00:00:00.000Z,Jeffrey Tisdale,Shafiqur Choudhary,"Center for Workforce Learning, Inc.",,9183800 : Education and Training Consulting,WS54963,2018-07-12T16:10:47.000Z,5797
CW27672,FY14-FEMS Tech Rescue Grant,0.000000000000000,Base Period,,FB0,FIRE AND EMERGENCY MEDICAL SERVICES,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,987093,2015-04-20T11:28:00.000Z,Closed,2014-04-04T00:00:00.000Z,2014-04-04T00:00:00.000Z,2014-09-30T00:00:00.000Z,Jeffrey Tisdale,Shafiqur Choudhary,Federal Resources Supply Company,,"3407280 : TOOL KITS, RESCUE",WS57946,2018-07-12T16:10:47.000Z,5798
CW27117,FY14 OCTO - IFB - Telephone Translation Services,3.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,GSA (Federal Supply Schedule),Firm Fixed Price,Open,296250,2015-03-02T19:28:00.000Z,Expired,2015-02-27T00:00:00.000Z,2015-02-28T00:00:00.000Z,2016-02-27T00:00:00.000Z,Crystal Farmer-Linder,Deborah White,LANGUAGE LINE SERVICE INC,,9617500 : Translation Services,WS66994,2018-07-12T16:10:47.000Z,5799
CW26564,Contract Workspace (Procurement)-URBAN ED ,4.000000000000000,Base Period,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Small Purchase,Firm Fixed Price,Open,100000,2014-12-29T13:42:00.000Z,Closed,2014-01-28T00:00:00.000Z,2014-01-28T00:00:00.000Z,2015-01-27T00:00:00.000Z,Uranus Anderson,Heather Reynolds,URBAN ED INC,,"9248600 : Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",WS70128,2018-07-12T16:10:47.000Z,5800
CW27632,CW27632 J & G Consultants,0.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,99000,2014-11-06T14:55:00.000Z,Closed,2014-04-10T00:00:00.000Z,2014-04-10T00:00:00.000Z,2014-09-30T00:00:00.000Z,Rebecca Young,Shafiqur Choudhary,"J and G Consultants, LLC",,"2879624 : CABLE, DATA PATCH, COMMUNICATION",WS72797,2018-07-12T16:10:47.000Z,5801
CW27632,CW27632 J & G Consultants,0.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,99000,2014-11-06T14:55:00.000Z,Closed,2014-04-10T00:00:00.000Z,2014-04-10T00:00:00.000Z,2014-09-30T00:00:00.000Z,Rebecca Young,Shafiqur Choudhary,"J and G Consultants, LLC",,9182600 : Communications: Public Relations Consulting,WS72797,2018-07-12T16:10:47.000Z,5802
CW27632,CW27632 J & G Consultants,0.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,99000,2014-11-06T14:55:00.000Z,Closed,2014-04-10T00:00:00.000Z,2014-04-10T00:00:00.000Z,2014-09-30T00:00:00.000Z,Rebecca Young,Shafiqur Choudhary,"J and G Consultants, LLC",,9182700 : Community Development Consulting,WS72797,2018-07-12T16:10:47.000Z,5803
CW31140,Third Party Liability Recovery Services,4.000000000000000,Option 3,,HT0,DEPARTMENT OF HEALTH CARE FINANCE,Competitive Sealed Proposal (RFP),Cost Plus Fixed Fee,Open,992000,2018-03-07T05:00:00.000Z,Published,2014-10-22T00:00:00.000Z,2017-10-22T00:00:00.000Z,2018-10-21T00:00:00.000Z,Monica Cobbs,Monica Cobbs,HEALTH MANAGEMENT SYSTEMS INC.,,9625800 : Professional Services (Not Otherwise Classified),WS75212,2018-07-12T16:10:47.000Z,5804
CW27725,FY14 - CF0 - UI Taxes and Benefits Modernization of the Employer Self-Service Portal,0.000000000000000,Base Period,,CF0,DEPARTMENT OF EMPLOYMENT SERVICES,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,989550,2014-03-28T14:19:00.000Z,Expired,2014-03-24T00:00:00.000Z,2014-04-01T00:00:00.000Z,2015-03-31T00:00:00.000Z,Jerome Johnson,Jerome Johnson,Sagitec Solutions,,9625800 : Professional Services (Not Otherwise Classified),WS77924,2018-07-12T16:10:47.000Z,5805
CW29517,DCBE-2014-C-0159 - Employee Assistance Services Program,4.000000000000000,Option 3,,BE0,D.C. DEPARTMENT OF HUMAN RESOURCES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,247674.6,2017-10-27T21:26:00.000Z,Published,2014-06-23T00:00:00.000Z,2017-06-23T00:00:00.000Z,2018-06-22T00:00:00.000Z,Kenneth Wallington,Dorothy Hale,Inova Health Care Services,,9523800 : Employee Assistance Programs (Including Unemployment Compensation Administration Services),WS78634,2018-07-12T16:10:47.000Z,5806
CW29086,Summer Enrichnent Program - Doc152635,0.000000000000000,Base Period,,HC0,DEPARTMENT OF HEALTH,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,20000,2014-06-02T16:05:00.000Z,Expired,2014-05-16T00:00:00.000Z,2014-05-26T00:00:00.000Z,2014-09-30T00:00:00.000Z,Dorothy Hale,Heather Reynolds,HUMANITIES COUNCIL OF WASH. DC,,9528300 : Summer Youth Program,WS81292,2018-07-12T16:10:47.000Z,5807
CW29086,Summer Enrichnent Program - Doc152635,0.000000000000000,Base Period,,HC0,DEPARTMENT OF HEALTH,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,20000,2014-06-02T16:05:00.000Z,Expired,2014-05-16T00:00:00.000Z,2014-05-26T00:00:00.000Z,2014-09-30T00:00:00.000Z,Dorothy Hale,Heather Reynolds,HUMANITIES COUNCIL OF WASH. DC,,9529500 : Youth Care Services,WS81292,2018-07-12T16:10:47.000Z,5808
CW29086,Summer Enrichnent Program - Doc152635,0.000000000000000,Base Period,,JA0,DEPARTMENT OF HUMAN SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,20000,2014-06-02T16:05:00.000Z,Expired,2014-05-16T00:00:00.000Z,2014-05-26T00:00:00.000Z,2014-09-30T00:00:00.000Z,Dorothy Hale,Heather Reynolds,HUMANITIES COUNCIL OF WASH. DC,,9528300 : Summer Youth Program,WS81292,2018-07-12T16:10:47.000Z,5809
CW29086,Summer Enrichnent Program - Doc152635,0.000000000000000,Base Period,,JA0,DEPARTMENT OF HUMAN SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,20000,2014-06-02T16:05:00.000Z,Expired,2014-05-16T00:00:00.000Z,2014-05-26T00:00:00.000Z,2014-09-30T00:00:00.000Z,Dorothy Hale,Heather Reynolds,HUMANITIES COUNCIL OF WASH. DC,,9529500 : Youth Care Services,WS81292,2018-07-12T16:10:47.000Z,5810
CW13121,IT - Web Based Volunteer Management Database System,0.000000000000000,Base Period,,RS0,SERVE DC,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,150000,2013-08-16T19:25:00.000Z,Closed,2011-12-23T00:00:00.000Z,2011-12-23T00:00:00.000Z,2012-12-22T00:00:00.000Z,Chi Hui Yi,Priscilla Mack,"OrgAction, LLC",,9625800 : Professional Services (Not Otherwise Classified),WS8569,2018-07-12T16:10:47.000Z,5811
CW33909,Temporary Support Services,4.000000000000000,Option 3,,BN0,HOMELAND SECURITY/EMERGENCY MANAGEMENT,Competitive Sealed Proposal (RFP),Firm Fixed Price,Set Aside,756100.8,2018-01-23T19:35:00.000Z,Published,2014-12-22T00:00:00.000Z,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,Ruby Nelson,Jeffrey Tisdale,MB STAFFING SERVICES LLC,CW33909-Option 1-Contract Award-Contract.pdf,9188500 : Personnel/Employment Consulting,WS90949,2018-07-12T16:10:47.000Z,5812
CW30432,   FY14 DC Office on Aging (DCOA)- Senior Fest,0.000000000000000,Base Period,,BY0,OFFICE ON AGING,Competitive Sealed Bid (IFB),Firm Fixed Price,Open,72500,2014-08-04T11:56:00.000Z,Expired,2014-07-30T00:00:00.000Z,2014-07-30T00:00:00.000Z,2014-09-30T00:00:00.000Z,Denise Burton Johnson,Angela Turner,Stockbridge Consulting LLC,,9150100 : Advertising Agency Services,WS91035,2018-07-12T16:10:47.000Z,5813
CW35174,DHCD Communications and Marketing Support,4.000000000000000,Base Period,,DB0,DEPT. OF HOUSING AND COMM. DEVELOPMENT,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,257088,2015-12-17T17:06:00.000Z,Expired,2015-02-24T00:00:00.000Z,2015-03-01T00:00:00.000Z,2016-02-29T00:00:00.000Z,Vanessa Hardy,Shafiqur Choudhary,LINK Strategic Partners,,9625800 : Professional Services (Not Otherwise Classified),WS95654,2018-07-12T16:10:47.000Z,5814
CW31061,FY14 FEMS Tactical Entry Kits,0.000000000000000,Base Period,,FB0,FIRE AND EMERGENCY MEDICAL SERVICES,Sole Source,Firm Fixed Price,Open,150562.62,2014-11-03T14:35:00.000Z,Expired,2014-09-05T00:00:00.000Z,2014-09-05T00:00:00.000Z,2015-09-04T00:00:00.000Z,Franklyn Malone,Angela Turner,SAFEWARE INC,,"3407280 : TOOL KITS, RESCUE",WS97612,2018-07-12T16:10:47.000Z,5815
POJA2005CRP05,Comprehensive Health Care Managem,4.000000000000000,Option 3,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,883916,2010-10-19T18:52:00.000Z,Closed,2005-06-30T00:00:00.000Z,2005-06-30T00:00:00.000Z,2006-06-30T00:00:00.000Z,T. Nicole Starwood,,President & Directors of Georgetown College for Georgetown University,,9186700 : Human Services Consulting (To Include Mental Health Consulting Services),,2018-07-12T16:10:47.000Z,5816
DCJM2008A0019,Movers,4.000000000000000,Option 2,,JM0,DEPARTMENT ON DISABILITY SERVICES,DC Supply Schedule,Firm Fixed Price,Set Aside,1000000,2010-10-19T18:53:00.000Z,Closed,2007-11-20T00:00:00.000Z,2007-11-20T00:00:00.000Z,2008-11-19T00:00:00.000Z,T. Nicole Starwood,,Capital Services and Supplies,,9522600 : Day Care (Adult),,2018-07-12T16:10:47.000Z,5817
DCJM2008A0027,Case Management Services 2,4.000000000000000,Option 2,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,100000,2010-10-19T18:52:00.000Z,Closed,2008-01-09T00:00:00.000Z,2008-01-09T00:00:00.000Z,2009-01-08T00:00:00.000Z,T. Nicole Starwood,,KIDD INTERNATIONAL HOME CARE,, : ,,2018-07-12T16:10:47.000Z,5818
CW5957,Residential Services - Gentle Touch,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Requirements,Open,999999,2010-11-04T19:42:00.000Z,Closed,2008-01-20T00:00:00.000Z,2008-01-20T00:00:00.000Z,2011-09-30T00:00:00.000Z,"Matthews, Scotti",Janice Parker Watson,Gentle Touch Inc,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5819
CW5936,Residential Services - Azure,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-01T18:37:00.000Z,Closed,2008-03-19T00:00:00.000Z,2008-03-19T00:00:00.000Z,2011-09-30T00:00:00.000Z,"Matthews, Scotti",Janice Parker Watson,AZURE LLC,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5820
CW5934,Residential Services - Agape,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-01T14:07:00.000Z,Expired,2008-03-26T00:00:00.000Z,2008-03-26T00:00:00.000Z,2011-09-30T00:00:00.000Z,"Matthews, Scotti",Janice Parker Watson,AGAPE HEALTHCARE SERVICES INC.,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5821
CW5970,Residential Services Blossom,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-01T21:25:00.000Z,Expired,2008-04-17T00:00:00.000Z,2008-04-17T00:00:00.000Z,2011-09-30T00:00:00.000Z,Esmeraldo (Rallie) Cruz,Janice Parker Watson,"BLOSSOM SERVICES, INC.",,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5822
DCHC-2008-F-7812,Districtwide Social Marketing and Public Awareness Campaign,4.000000000000000,Base Period,,HC0,DEPARTMENT OF HEALTH,GSA (Federal Supply Schedule),Firm Fixed Price,Open,572475,2010-07-28T17:23:00.000Z,Closed,2008-08-14T00:00:00.000Z,2008-08-14T00:00:00.000Z,2009-08-13T00:00:00.000Z,Chi Hui Yi,"Marshall, James",HARRISON MALDONADO ASSOCIATES,,"9615300 : Marketing Services (Incl. Distribution, Research, Sales Promotions, etc.)",,2018-07-12T16:10:47.000Z,5823
DCJM2008E0050,Clinical ServicesTherapists,4.000000000000000,Option 2,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,474054,2010-10-19T18:51:00.000Z,Closed,2008-08-27T00:00:00.000Z,2008-08-27T00:00:00.000Z,2009-08-26T00:00:00.000Z,T. Nicole Starwood,,LIBERTY HEALTHCARE CORP.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,5824
CW5834,Clinical Services-Nurses-Physician Assistants,1.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Firm Fixed Price,Open,712916,2010-10-21T13:25:00.000Z,Expired,2008-08-28T00:00:00.000Z,2008-09-01T00:00:00.000Z,2011-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,9487400 : Professional Medical Services (Including Physicians and All Specialties),,2018-07-12T16:10:47.000Z,5825
CW5945,Clinical Services-Psychologist,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Requirements,Open,208464.8,2012-10-10T19:21:00.000Z,Closed,2008-08-28T00:00:00.000Z,2008-09-01T00:00:00.000Z,2011-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,5826
CW5896,Clinical Services-Therapists,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Requirements,Open,474054.4,2012-10-10T19:16:00.000Z,Closed,2008-08-28T00:00:00.000Z,2008-09-01T00:00:00.000Z,2011-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,5827
CW5896,Clinical Services-Therapists,0.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Requirements,Open,474054.4,2012-10-10T19:16:00.000Z,Closed,2008-08-28T00:00:00.000Z,2008-09-01T00:00:00.000Z,2011-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5828
CW10952,Clinical Services-Therapists,1.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Requirements,Open,619076,2012-10-10T19:19:00.000Z,Closed,2008-09-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,2012-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,9180000 : CONSULTING SERVICES,,2018-07-12T16:10:47.000Z,5829
CW10952,Clinical Services-Therapists,1.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Competitive Sealed Proposal (RFP),Requirements,Open,619076,2012-10-10T19:19:00.000Z,Closed,2008-09-01T00:00:00.000Z,2008-09-01T00:00:00.000Z,2012-08-31T00:00:00.000Z,T. Nicole Starwood,Janice Parker Watson,LIBERTY HEALTHCARE CORP.,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5830
CW5868,Grant Consultant - Rebecca Salon,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Labor Hour,Open,99999,2010-10-22T18:51:00.000Z,Expired,2008-10-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,2011-09-30T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,REBECCA S. SALON,,9185800 : Governmental Consulting,,2018-07-12T16:10:47.000Z,5831
CW5832,Residential Services - Out of State- Whitney Academy,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,250000,2010-11-08T20:16:00.000Z,Closed,2008-10-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,2011-06-30T00:00:00.000Z,Esmeraldo (Rallie) Cruz,Janice Parker Watson,"WHITNEY ACADEMY, INC.",,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5832
CW6066,Residential Services-Whitney Academy,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,250000,2010-11-08T20:25:00.000Z,Expired,2008-10-01T00:00:00.000Z,2008-10-01T00:00:00.000Z,2011-09-30T00:00:00.000Z,Marsha L. Robinson,Janice Parker Watson,"WHITNEY ACADEMY, INC.",,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5833
CW5703,Medical Consultant - Dr. Melvin Williams,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Labor Hour,Open,99999,2010-10-12T18:29:00.000Z,Expired,2008-10-01T00:00:00.000Z,2008-10-21T00:00:00.000Z,2011-09-30T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,MELVIN WILLIAMS,,"9187850 : CONSULTING SERVICES, MEDICAL",,2018-07-12T16:10:47.000Z,5834
PO280540,Software Maintenance,4.000000000000000,BasePeriod,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Firm Fixed Price,Open,99887,2013-10-08T14:41:00.000Z,Closed,2008-11-14T00:00:00.000Z,2008-11-14T00:00:00.000Z,2009-09-30T00:00:00.000Z,Gail Marshall,,"I. LEVY & ASSOCIATES, INC.",,9204500 : Software Maintenance/Support,,2018-07-12T16:10:47.000Z,5835
CW3648,Waste Disposal,0.000000000000000,Base Period,,KT0,DEPARTMENT OF PUBLIC WORKS,Exempt From Competition,Requirements,Open,35000000,2015-03-16T20:38:00.000Z,Expired,2008-12-05T00:00:00.000Z,2008-12-05T00:00:00.000Z,2015-12-04T00:00:00.000Z,"Vest, Lucille",James Roberts,DIRECTOR OF FINANCE COUNTY OF,,9622800 : Dump Site Services (Resource Recovery),,2018-07-12T16:10:47.000Z,5836
CW5731,Electrical Contractor-Big Inc.,2.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Small Purchase,Time And Materials,Set Aside,99999,2010-10-18T21:28:00.000Z,Expired,2008-12-12T00:00:00.000Z,2008-12-12T00:00:00.000Z,2011-09-30T00:00:00.000Z,Marsha L. Robinson,Marsha L. Robinson,BIG INCORPORATED,,9143800 : Electrical,,2018-07-12T16:10:47.000Z,5837
CW6028,Residential Services - American Health Care,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-05T19:26:00.000Z,Closed,2009-02-02T00:00:00.000Z,2009-02-02T00:00:00.000Z,2011-09-30T00:00:00.000Z,"Matthews, Scotti",Janice Parker Watson,American Health Care Services,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5838
CW6034,Residential Services - Careco,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-05T20:29:00.000Z,Expired,2009-05-05T00:00:00.000Z,2009-05-05T00:00:00.000Z,2011-09-30T00:00:00.000Z,Esmeraldo (Rallie) Cruz,Janice Parker Watson,"CARECO, INC",,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5839
CW6030,Residential Services- Benedictine School,3.000000000000000,Base Period,,JM0,DEPARTMENT ON DISABILITY SERVICES,Human Care Agreements,Indefinite Delivery Indefinite Quantity,Open,999999,2010-11-05T19:51:00.000Z,Expired,2009-05-19T00:00:00.000Z,2009-05-19T00:00:00.000Z,2011-09-30T00:00:00.000Z,Esmeraldo (Rallie) Cruz,Janice Parker Watson,THE BENEDICTINE SCH FOR EXCEP,,"9529265 : RESIDENTIAL CARE AND TREATMENT (LONG TERM) TO BE PROVIDED IN A COMMUNITY CARE HOME, RESIDENTIAL TREATMENT FACILITY OR NURSING HOME",,2018-07-12T16:10:47.000Z,5840
DCTO-2009-F-0152,DCPS Network Security Equipment,0.000000000000000,Base Period,,TO0,OFFICE OF CHIEF TECHNOLOGY OFFICER,Competitive Sealed Bid (IFB),Indefinite Delivery Indefinite Quantity,Open,969668.8,2011-04-27T18:44:00.000Z,Closed,2009-05-22T00:00:00.000Z,2009-05-22T00:00:00.000Z,2010-05-21T00:00:00.000Z,Crystal McKay,John Varghese,DALY COMPUTERS,,"2046400 : Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Firewall Devices, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.",,2018-07-12T16:10:47.000Z,5841
DCHC-2007-H-0043,WIC Nutrition Services,4.000000000000000,Option 2,,HC0,DEPARTMENT OF HEALTH,Human Care Agreements,Firm Fixed Price,Open,900000,2010-07-30T14:46:00.000Z,Closed,2009-06-01T00:00:00.000Z,2009-06-01T00:00:00.000Z,2010-05-31T00:00:00.000Z,Jeanne Mirabile,"Marshall, James",MARY'S CTR MATERNAL CHILD CARE,,9521500 : Case Management,,2018-07-12T16:10:47.000Z,5842
DCJZ-2008-H-0004,National Center on Institutions and Alternatives,4.000000000000000,Option 1,,JZ0,DEPART OF YOUTH REHABILITATION SERVICES,Human Care Agreements,Firm Fixed Price,Open,900000,2010-06-28T14:16:00.000Z,Closed,2009-07-01T00:00:00.000Z,2009-07-01T00:00:00.000Z,2010-06-30T00:00:00.000Z,Dwight Hayes,"Marshall, James",NATIONAL CENTER & INSTITUTIONS,,9529500 : Youth Care Services,,2018-07-12T16:10:47.000Z,5843
